Trading_Code,Sector
CROWNCEMNT,
BSRMSTEEL,
MAGURAPLEX,
ASIATICLAB,
EASTRNLUB,
MTBPBOND,
PREMIERBAN,
DUTCHBANGL,
PREMIERCEM,
MONNOCERA,
SIPLC,
BEXGSUKUK,
HAMI,
SJIBLPBOND,
BARKAPOWER,
SUMITPOWER,
MPETROLEUM,
PBLPBOND,
BANKASI1PB,
ABBLPBOND,
HEIDELBCEM,
CONFIDCEM,
FUWANGCER,
SBACBANK,
DEBBDWELD,
MBPLCPBOND,
IBBLPBOND,
DEBBDLUGG,
DEBBXDENIM,
TECHNODRUG,
BDWELDING,
DEBBXKNI,
DEBBXFISH,
DEBBDZIPP,
FIRSTSBANK,
TILIL,
BSCPLC,
DEBBXTEX,
SEB1PBOND,
NCCBANK,
MEGHNACEM,
SHARPIND,
SHAHJABANK,
BPPL,
UCB2PBOND,
LHB,
ARAMITCEM,
DEBARACEM,
PREBPBOND,
APSCLBOND,
AIBLPBOND,
IBBL2PBOND,
DBLPBOND,
SOUTHEASTB,
CAPITECGBF,
MIDLANDBNK,
STANCERAM,
CBLPBOND,
RAKCERAMIC,
SPCERAMICS,
ONEBANKLTD,
DSES,
DS30,
DSEX,
MICEMENT,
NPOLYMAR,
TAUFIKA,
UNITEDAIR,
MONNOSTAF,
GLAXOSMITH,
OLYMPIC ,
EASTLAND ,
AZIZPIPES ,
ARAMITCEM ,
LAFSURCEML,
QSMDRYCELL,
BRACSCBOND,
CMCKAMAL,
UCBL,
BEDL,
FLEASEINT,
ACIZCBOND,
FUWANGCER ,
ULC,
ICBISLAMIC,
BDBUILDING,
MTBL,
APEXADELFT,
OCL,
CTGVEG,
BOC,
MONNOJTX,
BEXTEX,
KEYADETERG,
FIDELASSET,
DHAKAFISH,
GULFOODS,
PADMACEM,
ALPHATOBA,
NILOYCEM,
QSMSILK,
TBL,
BLTC,
MODERNIND,
BDPLANT,
HILLPLANT,
BANGLAPRO,
BDONLINE,
SOCIALINV,
DANDYDYE,
MEGHNASHRM,
EXCELSHOE,
ROSEHEAVEN,
RANGAFOOD,
ALAMINCHEM,
ASHRAFTEX,
LEXCO,
MAQPAPER,
MAQENTER,
WONDERTOYS,
SREEPURTEX,
GACHIHATA,
MITATEX,
QSMTEX,
MODERNCEM,
RAHMANCHEM,
BDZIPPER,
BCIL,
BDDYE,
TULIPDAIRY,
SAJIBKNIT,
PADMAPRINT,
BDLUGGAGE,
BENGALFINE,
PERFUMCHM,
EAGLESTAR,
DYNAMICTEX,
MONAFOOD,
MHOSSAIN,
BIONICFOOD,
SALEHCARPT,
AMAMSEAFD,
METALEXCR,
BEMCO,
BXFISHERY,
SHINEPUKUR,
PHARMACO,
TRIPTI,
GBJVFOOD,
CHICTEX,
BDHOTELS,
RASPIT,
RASPITDATA,
PHENIXLETH,
PETROSYNTH,
